location,bhk,areawithtype,area,built_up_area,transaction,status,floornum,totalfloor,furnishing,facing,price_per_sqft,price,latitude,longitude
shantipura circle/sanathal,1,Super Area,450,450,Resale,Ready to Move,2,5,Semi-Furnished,West,4222,0.19,22.987597,72.47144058390487
vastral/sardar patel ring rd/odhav,1,Super Area,646,646,Resale,Ready to Move,1,12,Unfurnished,South,4025,0.26,22.9948656,72.6624431
naroda/hansol,1,Carpet Area,700,770,Resale,Ready to Move,4,7,Unfurnished,North,2128,0.15,23.0854097,72.6580946
prahlad nagar/jivraj park/vejalpur/jodhpur,2,Super Area,1125,1125,New Property,Under Construction,1,5,Unfurnished,East,2400,0.27,23.0002435,72.5054049
narolgam/vatva/ghodasar,2,Super Area,1125,1125,Resale,Ready to Move,4,5,Unfurnished,North - East,2489,0.28,22.9641614,72.5903337
bopal/ghuma/shilaj/ambli,2,Carpet Area,855,941,Resale,Other,3,4,Semi-Furnished,North - West,2434,0.23,23.02353855,72.47052697610516
zundal,3,Carpet Area,98,108,Resale,Ready to Move,1,7,Unfurnished,East,3352,0.06,23.1309,72.5852
vastral/sardar patel ring rd/odhav,1,Super Area,646,646,Resale,Ready to Move,11,14,Unfurnished,East,3251,0.21,22.9948656,72.6624431
narolgam/vatva/ghodasar,1,Super Area,675,675,Resale,Ready to Move,1,5,Semi-Furnished,West,2222,0.15,22.9641614,72.5903337
naroda/hansol,1,Carpet Area,77,85,Resale,Ready to Move,4,7,Unfurnished,South - East,4492,0.19,23.0854097,72.6580946
vastral/sardar patel ring rd/odhav,1,Super Area,646,646,Resale,Ready to Move,3,14,Semi-Furnished,East,3328,0.21,22.9948656,72.6624431
naroda/hansol,1,Super Area,68,68,Resale,Ready to Move,2,5,Furnished,East,3676,0.03,23.0854097,72.6580946
naroda/hansol,1,Carpet Area,650,715,Resale,Ready to Move,4,7,Unfurnished,North,2519,0.17,23.0854097,72.6580946
narolgam/vatva/ghodasar,1,Super Area,500,500,Resale,Ready to Move,3,5,Furnished,East,3600,0.18,22.9641614,72.5903337
naroda/hansol,1,Carpet Area,250,275,Resale,Ready to Move,0,4,Unfurnished,East,1631,0.06,23.0854097,72.6580946
narolgam/vatva/ghodasar,1,Super Area,425,425,Resale,Ready to Move,2,7,Furnished,East,3412,0.14,22.9641614,72.5903337
nikol,1,Super Area,675,675,Resale,Ready to Move,1,5,Unfurnished,East,3556,0.24,23.0589329,72.6718736720388
gota/jagatpur/newranip/sola,1,Super Area,560,560,Resale,Ready to Move,3,11,Unfurnished,East,4821,0.27,23.1010002,72.5408363
vastral/sardar patel ring rd/odhav,1,Super Area,376,376,Resale,Ready to Move,1,7,Semi-Furnished,East,4778,0.18,22.9948656,72.6624431
sanand/godhavi,3,Carpet Area,700,770,Resale,Ready to Move,4,7,Unfurnished,West,3247,0.25,23.0238876,72.3851475
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Carpet Area,459,505,Resale,Ready to Move,2,3,Semi-Furnished,East,5664,0.26,23.0002435,72.5054049
bopal/ghuma/shilaj/ambli,1,Super Area,646,646,Resale,Ready to Move,2,14,Unfurnished,East,3638,0.23,23.02353855,72.47052697610516
narolgam/vatva/ghodasar,1,Super Area,80,80,Resale,Ready to Move,4,5,Unfurnished,North,10000,0.08,22.9641614,72.5903337
gandhinagar highway,1,Carpet Area,660,726,Resale,Ready to Move,2,5,Semi-Furnished,East,3636,0.24,23.0876721,72.6300562
bopal/ghuma/shilaj/ambli,1,Super Area,646,646,Resale,Ready to Move,9,14,Unfurnished,East,3173,0.2,23.02353855,72.47052697610516
nikol,1,Super Area,7290,7290,Resale,Ready to Move,2,5,Unfurnished,East,274,0.2,23.0589329,72.6718736720388
bodakdev/satellite/sindhubhavan marg,1,Carpet Area,2898,3188,Resale,Ready to Move,0,1,Semi-Furnished,East,759,0.22,23.0445921,72.517344
prahlad nagar/jivraj park/vejalpur/jodhpur,3,Carpet Area,684,752,Resale,Other,1,3,Unfurnished,North,3801,0.26,23.0002435,72.5054049
naroda/hansol,1,Super Area,702,702,Resale,Ready to Move,3,5,Furnished,East,3775,0.27,23.0854097,72.6580946
gota/jagatpur/newranip/sola,1,Carpet Area,456,502,New Property,Under Construction,5,10,Unfurnished,East,3429,0.3,23.1010002,72.5408363
gota/jagatpur/newranip/sola,1,Carpet Area,300,330,Resale,Other,7,14,Unfurnished,North,5321,0.29,23.1010002,72.5408363
vastral/sardar patel ring rd/odhav,1,Carpet Area,550,605,Resale,Ready to Move,3,5,Unfurnished,East,2083,0.15,22.9948656,72.6624431
narolgam/vatva/ghodasar,1,Carpet Area,486,535,Resale,Ready to Move,5,12,Semi-Furnished,East,2778,0.21,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,1071,1071,New Property,Ready to Move,3,5,Unfurnished,East,2354,0.25,22.9641614,72.5903337
shantipura circle/sanathal,1,Carpet Area,405,446,New Property,Under Construction,10,14,Unfurnished,East,3450,0.25,22.987597,72.47144058390487
narolgam/vatva/ghodasar,2,Super Area,1080,1080,Resale,Ready to Move,4,7,Unfurnished,East,2177,0.23,22.9641614,72.5903337
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Super Area,558,558,Resale,Ready to Move,1,4,Semi-Furnished,East,4839,0.27,23.0002435,72.5054049
vastral/sardar patel ring rd/odhav,2,Carpet Area,673,740,Resale,Ready to Move,4,5,Semi-Furnished,East,2705,0.28,22.9948656,72.6624431
