location,bhk,built_up_area,transaction,status,totalfloor,furnishing,facing,bathroom,floor_category,luxury_category,price
narolgam/vatva/ghodasar,1,675,Resale,Ready to Move,5,Semi-Furnished,West,1,Low Floor,Low,0.15
naroda/hansol,1,85,Resale,Ready to Move,7,Unfurnished,South - East,1,Mid Floor,Low,0.19
vastral/sardar patel ring rd/odhav,1,646,Resale,Ready to Move,14,Semi-Furnished,East,1,Mid Floor,Low,0.21
naroda/hansol,1,68,Resale,Ready to Move,5,Furnished,East,1,Low Floor,Low,0.03
naroda/hansol,1,715,Resale,Ready to Move,7,Unfurnished,North,1,Mid Floor,Low,0.17
narolgam/vatva/ghodasar,1,500,Resale,Ready to Move,5,Furnished,East,1,Mid Floor,Low,0.18
naroda/hansol,1,275,Resale,Ready to Move,4,Unfurnished,East,1,Low Floor,Low,0.06
narolgam/vatva/ghodasar,1,425,Resale,Ready to Move,7,Furnished,East,1,Low Floor,Low,0.14
nikol,1,675,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.24
gota/jagatpur/newranip/sola,1,560,Resale,Ready to Move,11,Unfurnished,East,1,Mid Floor,Low,0.27
vastral/sardar patel ring rd/odhav,1,376,Resale,Ready to Move,7,Semi-Furnished,East,1,Low Floor,Low,0.18
sanand/godhavi,3,770,Resale,Ready to Move,7,Unfurnished,West,2,Mid Floor,Medium,0.25
prahlad nagar/jivraj park/vejalpur/jodhpur,1,505,Resale,Ready to Move,3,Semi-Furnished,East,1,Low Floor,Low,0.26
bopal/ghuma/shilaj/ambli,1,646,Resale,Ready to Move,14,Unfurnished,East,1,Low Floor,Low,0.23
narolgam/vatva/ghodasar,1,80,Resale,Ready to Move,5,Unfurnished,North,1,Mid Floor,Low,0.08
gandhinagar highway,1,726,Resale,Ready to Move,5,Semi-Furnished,East,1,Low Floor,Low,0.24
bopal/ghuma/shilaj/ambli,1,646,Resale,Ready to Move,14,Unfurnished,East,1,Mid Floor,Low,0.2
nikol,1,7290,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Medium,0.2
bodakdev/satellite/sindhubhavan marg,1,3188,Resale,Ready to Move,1,Semi-Furnished,East,1,Low Floor,Medium,0.22
prahlad nagar/jivraj park/vejalpur/jodhpur,3,752,Resale,Other,3,Unfurnished,North,2,Low Floor,Medium,0.26
naroda/hansol,1,702,Resale,Ready to Move,5,Furnished,East,1,Mid Floor,Low,0.27
gota/jagatpur/newranip/sola,1,502,New Property,Under Construction,10,Unfurnished,East,1,Mid Floor,Low,0.3
gota/jagatpur/newranip/sola,1,330,Resale,Other,14,Unfurnished,North,1,Mid Floor,Low,0.29
vastral/sardar patel ring rd/odhav,1,605,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.15
narolgam/vatva/ghodasar,1,535,Resale,Ready to Move,12,Semi-Furnished,East,1,Mid Floor,Low,0.21
narolgam/vatva/ghodasar,2,1071,New Property,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.25
shantipura circle/sanathal,1,446,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.25
narolgam/vatva/ghodasar,2,1080,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.23
prahlad nagar/jivraj park/vejalpur/jodhpur,1,558,Resale,Ready to Move,4,Semi-Furnished,East,1,Low Floor,Low,0.27
vastral/sardar patel ring rd/odhav,2,740,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.28
prahlad nagar/jivraj park/vejalpur/jodhpur,1,770,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.29
gota/jagatpur/newranip/sola,1,644,Resale,Ready to Move,12,Unfurnished,East,1,Mid Floor,Low,0.28
prahlad nagar/jivraj park/vejalpur/jodhpur,1,528,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.28
changodar/bhat,1,5168,Resale,Ready to Move,4,Unfurnished,East,1,Mid Floor,Medium,0.17
narolgam/vatva/ghodasar,2,1020,New Property,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.27
narolgam/vatva/ghodasar,2,1035,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.23
narolgam/vatva/ghodasar,2,882,Resale,Ready to Move,6,Unfurnished,East,1,Mid Floor,Low,0.24
prahlad nagar/jivraj park/vejalpur/jodhpur,1,515,Resale,Ready to Move,4,Semi-Furnished,East,1,Low Floor,Low,0.23
gota/jagatpur/newranip/sola,1,588,New Property,Under Construction,10,Unfurnished,East,1,Mid Floor,Low,0.29
naroda/hansol,1,576,Resale,Ready to Move,5,Unfurnished,North - East,1,Low Floor,Low,0.2
bopal/ghuma/shilaj/ambli,1,561,Resale,Ready to Move,5,Semi-Furnished,East,1,Low Floor,Low,0.3
shahibag/khokhra/saraspur,2,792,Resale,Ready to Move,4,Semi-Furnished,East,1,Mid Floor,Medium,0.27
prahlad nagar/jivraj park/vejalpur/jodhpur,1,584,Resale,Ready to Move,3,Unfurnished,North,1,Low Floor,Low,0.23
gota/jagatpur/newranip/sola,1,644,Resale,Ready to Move,10,Semi-Furnished,East,1,Mid Floor,Low,0.29
bopal/ghuma/shilaj/ambli,1,460,New Property,Ready to Move,14,Unfurnished,East,1,Mid Floor,Low,0.29
gota/jagatpur/newranip/sola,1,682,Resale,Ready to Move,4,Furnished,North - East,1,Mid Floor,Low,0.26
bopal/ghuma/shilaj/ambli,1,572,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.28
narolgam/vatva/ghodasar,2,703,Resale,Ready to Move,4,Unfurnished,East,1,Low Floor,Low,0.24
narolgam/vatva/ghodasar,2,1215,Resale,Ready to Move,7,Unfurnished,North,1,Mid Floor,Medium,0.27
narolgam/vatva/ghodasar,1,765,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Low,0.17
vastral/sardar patel ring rd/odhav,1,548,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.23
gota/jagatpur/newranip/sola,1,515,Resale,Ready to Move,4,Unfurnished,East,1,Low Floor,Low,0.24
narolgam/vatva/ghodasar,2,1143,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Medium,0.27
vastral/sardar patel ring rd/odhav,1,566,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.25
gota/jagatpur/newranip/sola,1,693,Resale,Ready to Move,4,Semi-Furnished,East,1,Low Floor,Low,0.25
narolgam/vatva/ghodasar,1,720,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.17
vastral/sardar patel ring rd/odhav,1,515,Resale,Ready to Move,5,Semi-Furnished,East,1,Low Floor,Low,0.2
chandkheda,1,822,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.28
narolgam/vatva/ghodasar,2,1053,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.23
vastral/sardar patel ring rd/odhav,2,799,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.3
chandkheda,1,822,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.27
narolgam/vatva/ghodasar,2,1080,Resale,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.23
prahlad nagar/jivraj park/vejalpur/jodhpur,1,505,Resale,Ready to Move,4,Semi-Furnished,East,1,Low Floor,Low,0.28
vastral/sardar patel ring rd/odhav,2,676,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.3
narolgam/vatva/ghodasar,1,621,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.14
narolgam/vatva/ghodasar,2,861,Resale,Ready to Move,14,Unfurnished,East,1,High Floor,Medium,0.28
chharodi/tragad,1,604,Resale,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.23
narolgam/vatva/ghodasar,2,902,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.21
chandkheda,1,446,Resale,Ready to Move,10,Furnished,East,1,Mid Floor,Low,0.3
gota/jagatpur/newranip/sola,1,635,Resale,Ready to Move,14,Furnished,North,1,Mid Floor,Low,0.38
shela,2,734,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.39
sanand/godhavi,2,632,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.39
gota/jagatpur/newranip/sola,1,588,New Property,Under Construction,10,Unfurnished,North,1,Low Floor,Low,0.33
shela,2,656,New Property,Under Construction,14,Unfurnished,West,1,Mid Floor,Low,0.37
naroda/hansol,2,1080,Resale,Ready to Move,7,Unfurnished,North - East,1,Mid Floor,Low,0.34
shela,2,657,New Property,Ready to Move,14,Unfurnished,East,1,Mid Floor,Low,0.39
shela,2,1220,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Medium,0.38
vaishnodevi circle,1,462,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.35
vastral/sardar patel ring rd/odhav,2,1005,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.38
bopal/ghuma/shilaj/ambli,2,726,Resale,Other,14,Unfurnished,East,1,Low Floor,Low,0.39
shahibag/khokhra/saraspur,2,668,Resale,Ready to Move,14,Semi-Furnished,East,1,Mid Floor,Medium,0.35
shela,2,1150,New Property,Ready to Move,14,Unfurnished,East,1,Mid Floor,Medium,0.39
zundal,2,792,Resale,Ready to Move,7,Unfurnished,West,1,Low Floor,Low,0.4
shantipura circle/sanathal,2,645,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.38
gota/jagatpur/newranip/sola,1,968,New Property,Under Construction,10,Unfurnished,East,1,Mid Floor,Low,0.35
shela,2,660,Resale,Ready to Move,13,Unfurnished,East,1,Mid Floor,Low,0.39
vastral/sardar patel ring rd/odhav,2,1317,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.37
narolgam/vatva/ghodasar,2,846,Resale,Ready to Move,4,Furnished,East,1,Mid Floor,Medium,0.4
gota/jagatpur/newranip/sola,1,363,Resale,Ready to Move,12,Furnished,East,1,Low Floor,Low,0.35
bopal/ghuma/shilaj/ambli,2,891,Resale,Ready to Move,4,Semi-Furnished,East,1,Mid Floor,Medium,0.35
gota/jagatpur/newranip/sola,1,765,Resale,Ready to Move,7,Semi-Furnished,East,1,Mid Floor,Low,0.35
gota/jagatpur/newranip/sola,1,396,Resale,Ready to Move,14,Furnished,North - East,1,Mid Floor,Low,0.31
gota/jagatpur/newranip/sola,2,462,Resale,Ready to Move,14,Unfurnished,East,1,Mid Floor,Low,0.3
naroda/hansol,2,1035,Resale,Other,5,Semi-Furnished,North,1,Mid Floor,Medium,0.4
chharodi/tragad,2,871,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Low,0.37
bopal/ghuma/shilaj/ambli,1,396,Resale,Ready to Move,13,Furnished,East,1,Mid Floor,Low,0.32
naroda/hansol,2,770,Resale,Ready to Move,7,Unfurnished,North,1,Mid Floor,Low,0.4
chharodi/tragad,2,1200,New Property,Ready to Move,10,Unfurnished,East,1,Mid Floor,Medium,0.37
shahibag/khokhra/saraspur,3,726,New Property,Ready to Move,14,Unfurnished,North,2,Mid Floor,Medium,0.36
gota/jagatpur/newranip/sola,2,842,Resale,Ready to Move,14,Semi-Furnished,North - East,1,High Floor,Medium,0.4
nikol,2,842,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.38
gandhinagar highway,1,600,Resale,Ready to Move,12,Furnished,East,1,Low Floor,Low,0.38
narolgam/vatva/ghodasar,1,941,Resale,Ready to Move,4,Furnished,East,1,Low Floor,Low,0.4
chandkheda,2,1320,Resale,Ready to Move,7,Semi-Furnished,North,1,Mid Floor,Medium,0.4
vastral/sardar patel ring rd/odhav,2,850,Resale,Ready to Move,5,Furnished,East,1,Low Floor,Medium,0.37
chandkheda,1,871,Resale,Ready to Move,10,Unfurnished,North - East,1,Mid Floor,Low,0.31
motera,1,732,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Low,0.32
gota/jagatpur/newranip/sola,1,578,New Property,Under Construction,10,Unfurnished,East,1,Mid Floor,Low,0.35
chandkheda,2,1125,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Medium,0.4
shela,1,616,Resale,Ready to Move,12,Semi-Furnished,East,1,Mid Floor,Low,0.35
gota/jagatpur/newranip/sola,1,605,New Property,Under Construction,10,Unfurnished,East,1,Mid Floor,Low,0.35
chharodi/tragad,2,927,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.36
narolgam/vatva/ghodasar,2,880,Resale,Ready to Move,5,Unfurnished,West,1,Mid Floor,Low,0.37
vaishnodevi circle,2,496,Resale,Ready to Move,11,Semi-Furnished,East,1,Mid Floor,Low,0.35
prahlad nagar/jivraj park/vejalpur/jodhpur,1,700,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Low,0.34
narolgam/vatva/ghodasar,2,1215,Resale,Ready to Move,12,Unfurnished,East,1,Mid Floor,Medium,0.38
gota/jagatpur/newranip/sola,2,792,Resale,Ready to Move,5,Semi-Furnished,North,1,Mid Floor,Medium,0.35
shahibag/khokhra/saraspur,2,1100,Resale,Ready to Move,5,Furnished,East,1,Mid Floor,Medium,0.32
bopal/ghuma/shilaj/ambli,2,1107,Resale,Ready to Move,4,Semi-Furnished,North - East,1,Mid Floor,Medium,0.36
naroda/hansol,2,1080,Resale,Ready to Move,7,Furnished,North,1,Low Floor,Medium,0.32
narolgam/vatva/ghodasar,2,720,Resale,Ready to Move,3,Unfurnished,South -West,1,Low Floor,Low,0.36
chankyapuri/ognaj/ghatlodiya,2,158,Resale,Other,4,Unfurnished,West,1,Mid Floor,Low,0.4
shahibag/khokhra/saraspur,3,900,Resale,Ready to Move,2,Semi-Furnished,East,2,Low Floor,Medium,0.4
naroda/hansol,2,1215,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.38
prahlad nagar/jivraj park/vejalpur/jodhpur,2,890,Resale,Ready to Move,5,Unfurnished,North,1,Low Floor,Low,0.39
